 Address, Адрес
Personal Data Download Request,Заявка за изтегляне на лични данни
Personal Details,Лични данни
Personal Email,Личен имейл
Petrol,Бензин
Phantom Item,Фантомен артикул
Phantom Item is mandatory,Фантомният артикул е задължителен
Pharmaceutical,Фармацевтичен
Phone,Телефон
Phone Ext.,Телефон вътр.
Phone No,Телефон №
Phone No.,Телефон №
Phone Number,Телефонен номер
Phone Number {0} set in field {1} is not valid.,"Телефонен номер {0}, зададен в поле {1}, не е валиден."
Pick Columns,Избери колони
Pick List,Лист за окомплектоване
Pick List Incomplete,Листът за окомплектоване е непълен
Pick List Item,Артикул от лист за окомплектоване
Pick Manually,Избери ръчно
Pick Serial / Batch,Избери сериен номер / партида
Pick Serial / Batch Based On,Избери сериен номер / партида на база
Pick Serial / Batch No,Избери сериен номер / партида №
Picked Qty,Окомплектовано количество
Picked Qty (in Stock UOM),Окомплектовано количество (в складова мерна единица)
Pickup,Вземане
Pickup Contact Person,Лице за контакт при вземане
Pickup Date,Дата на вземане
Pickup Date cannot be before this day,Датата на вземане не може да бъде преди днес
Pickup From,Вземане от
Pickup To time should be greater than Pickup From time,Крайният час на вземане трябва да бъде след началния
Pickup Type,Тип вземане
Pickup from,Вземане от
Pickup to,Вземане до
Pie,Кръгова
Pincode,Пощенски код
Pink,Розов
Pipeline By,Воронка по
Place of Issue,Място на издаване
Placeholder,Заместител
Places,Места
Plaid Access Token,Plaid токен за достъп
Plaid Client ID,Plaid клиентски идентификатор
Plaid Environment,Plaid среда
Plaid Link Failed,Plaid връзката е неуспешна
Plaid Link Refresh Required,Необходимо е обновяване на Plaid връзка
Plaid Link Updated,Plaid връзката е актуализирана
Plaid Secret,Plaid тайна
Plaid Settings,Plaid настройки
Plaid transactions sync error,Грешка при синхронизация на Plaid транзакции
Plain Text,Обикновен текст
Plan,План
Plan Name,Име на план
Plan material for sub-assemblies,Планирай материали за подсглобки
Plan operations X days in advance,Планирай операции X дни предварително
Plan time logs outside Workstation working hours,Планирай времеви логове извън работните часове на работната станция
Planned,Планиран
Planned End Date,Планирана крайна дата
Planned End Time,Планиран краен час
Planned Operating Cost,Планиран оперативен разход
Planned Purchase Order,Планирана поръчка за покупка
Planned Qty,Планирано количество
Planned Qty: Quantity,"Планирано количество: Количество, за което е създаден работна поръчка, но е в очакване на производство."
Planned Quantity,Планирано количество
Planned Start Date,Планирана начална дата
Planned Start Time,Планиран начален час
Planned Work Order,Планиран работна поръчка
Planning,Планиране
Plans,Планове
Plant,Завод
Plant Dashboard,Табло на завод
Plant Floor,Производствена площ
Plants and Machineries,Съоръжения и машини
Please Authorize OAuth for Email Account {0},"Моля, оторизирайте OAuth за имейл акаунт {0}"
Please Authorize OAuth for Email Account {},"Моля, оторизирайте OAuth за имейл акаунт {}"
Please Duplicate this Website Theme to customize.,"Моля, дублирайте тази тема за уебсайт за персонализация."
Please Install the ldap3 library via pip to use ldap functionality.,"Моля, инсталирайте библиотеката ldap3 чрез pip за използване на LDAP функционалност."
Please Restock Items and Update the Pick List to continue. To discontinue,"Моля, попълнете наличността и актуализирайте листа за окомплектоване. За прекратяване, анулирайте листа."
Please Select a Company,"Моля, изберете компания"
Please Select a Company.,"Моля, изберете компания."
Please Select a Customer,"Моля, изберете клиент"
Please Select a Supplier,"Моля, изберете доставчик"
Please Set Chart,"Моля, задайте графика"
Please Set Priority,"Моля, задайте приоритет"
Please Set Supplier Group in Buying Settings.,"Моля, задайте група доставчици в Настройки за покупки."
Please Specify Account,"Моля, посочете сметка"
Please Update SMS Settings,"Моля, актуализирайте SMS настройките"
Please add 'Supplier' role to user {0}.,"Моля, добавете роля „Доставчик"" към потребител {0}."
Please add Mode of payments and opening balance details.,"Моля, добавете начини на плащане и начални салда."
Please add Operations first.,"Моля, първо добавете операции."
Please add Request for Quotation to the sidebar in Portal Settings.,"Моля, добавете Заявка за оферта в страничната лента в Настройки на портала."
Please add Root Account for - {0},"Моля, добавете коренна сметка за - {0}"
Please add a Temporary Opening account in Chart of Accounts,"Моля, добавете временна начална сметка в сметкоплана"
Please add a subject to your email,"Моля, добавете тема към имейла"
Please add a valid comment.,"Моля, добавете валиден коментар."
Please add atleast one Serial No / Batch No,"Моля, добавете поне един сериен номер / партида"
Please add the Bank Account column,"Моля, добавете колоната Банкова сметка"
Please add the account to root level Company - {0},"Моля, добавете сметката към компания от основно ниво - {0}"
Please add the account to root level Company - {},"Моля, добавете сметката към компания от основно ниво - {}"
Please add {1} role to user {0}.,"Моля, добавете роля {1} към потребител {0}."
Please adjust the qty or edit {0} to proceed.,"Моля, коригирайте количеството или редактирайте {0} за продължаване."
Please ask your administrator to verify your sign-up,"Моля, помолете администратора да потвърди регистрацията ви"
Please attach CSV file,"Моля, прикачете CSV файл"
Please attach a file first.,"Моля, първо прикачете файл."
Please attach an image file to set HTML for Footer.,"Моля, прикачете изображение за HTML на долен колонтитул."
Please attach an image file to set HTML for Letter Head.,"Моля, прикачете изображение за HTML на бланка."
Please attach the package,"Моля, прикачете пакета"
Please cancel and amend the Payment Entry,"Моля, анулирайте и коригирайте платежния документ"
Please cancel payment entry manually first,"Моля, първо анулирайте платежния документ ръчно"
Please cancel related transaction.,"Моля, анулирайте свързаната операция."
Please capitalize this asset before submitting.,"Моля, капитализирайте този актив преди осчетоводяване."
Please check Multi Currency option to allow accounts with other currency,"Моля, отбележете опцията „Многовалутен"" за разрешаване на сметки в друга валута"
Please check Process Deferred Accounting {0} and submit manually after resolving errors.,"Моля, проверете обработка на отложено счетоводство {0} и осчетоводете ръчно след отстраняване на грешки."
Please check either with operations or FG Based Operating Cost.,"Моля, проверете с операции или оперативни разходи на база готови продукти."
Please check the 'Enable Serial and Batch No for Item' checkbox in the {0} to make Serial and Batch Bundle for the item.,"Моля, отбележете „Активирай сериен номер и партида за артикул"" в {0}."
Please check the error message and take necessary actions to fix the error and then restart the reposting again.,"Моля, проверете съобщението за грешка, отстранете проблема и рестартирайте преизчислението."
Please check the filter values set for Dashboard Chart: {},"Моля, проверете стойностите на филтрите за графика на табло: {}"
"Please check the value of ""Fetch From"" set for field {0}","Моля, проверете стойността на „Извлечи от"" за поле {0}"
Please check your Plaid client ID and secret values,"Моля, проверете вашите Plaid клиентски идентификатор и тайна"
Please check your email for verification,"Моля, проверете имейла си за потвърждение"
Please check your email login credentials.,"Моля, проверете данните за вход в имейла."
Please check your email to confirm the appointment,"Моля, проверете имейла си за потвърждение на срещата"
Please check your registered email address for instructions on how to proceed. Do not close this window as you will have to return to it.,"Моля, проверете регистрирания си имейл адрес за инструкции. Не затваряйте този прозорец."
Please click Edit on the Workspace for best results,"Моля, натиснете Редактирай на работното пространство за най-добри резултати"
Please click on 'Export Errored Rows',"Моля, натиснете „Експорт на грешни редове"", коригирайте грешките и импортирайте отново."
Please click on 'Generate Schedule',"Моля, натиснете „Генерирай график"""
Please click on 'Generate Schedule' to fetch Serial No added for Item {0},"Моля, натиснете „Генерирай график"" за извличане на серийни номера за артикул {0}"
Please click on 'Generate Schedule' to get schedule,"Моля, натиснете „Генерирай график"" за получаване на график"
Please click on the following link and follow the instructions on the page. {0},"Моля, натиснете следния линк и следвайте инструкциите. {0}"
Please click on the following link to set your new password,"Моля, натиснете следния линк, за да зададете нова парола"
Please confirm your action to {0} this document.,"Моля, потвърдете действието за {0} на този документ."
Please contact any of the following users to extend the credit limits for {0}: {1},"Моля, свържете се с някой от следните потребители за удължаване на кредитния лимит за {0}: {1}"
Please contact any of the following users to {} this transaction.,"Моля, свържете се с някой от следните потребители за {} на тази операция."
Please contact your administrator to extend the credit limits for {0}.,"Моля, свържете се с администратора за удължаване на кредитния лимит за {0}."
Please contact your system manager to install correct version.,"Моля, свържете се със системния мениджър за инсталиране на правилна версия."
Please convert the parent account in corresponding child company to a group account.,"Моля, преобразувайте родителската сметка в съответната дъщерна компания в групова сметка."
Please create Card first,"Моля, първо създайте карта"
Please create Customer from Lead {0}.,"Моля, създайте клиент от потенциален клиент {0}."
Please create Landed Cost Vouchers against Invoices that have 'Update Stock' enabled.,"Моля, създайте ваучери за доставна стойност по фактури с активирано „Актуализирай наличност""."
Please create a new Accounting Dimension if required.,"Моля, създайте ново счетоводно измерение, ако е необходимо."
Please create chart first,"Моля, първо създайте графика"
Please create purchase from internal sale or delivery document itself,"Моля, създайте покупка от самия вътрешен документ за продажба или доставка"
Please create purchase receipt or purchase invoice for the item {0},"Моля, създайте складова бележка за получаване или фактура за покупка за артикул {0}"
Please delete Product Bundle {0},"Моля, изтрийте продуктов пакет {0} преди обединяване на {1} с {2}"
Please delete the field from {0} or add the required doctype.,"Моля, изтрийте полето от {0} или добавете необходимия тип документ."
Please disable workflow temporarily for Journal Entry {0},"Моля, деактивирайте временно работния поток за счетоводна статия {0}"
Please do not book expense of multiple assets against one single Asset.,"Моля, не осчетоводявайте разходи за множество активи по един единствен актив."
Please do not change the template headings.,"Моля, не променяйте заглавията на шаблона."
Please do not create more than 500 items at a time,"Моля, не създавайте повече от 500 артикула наведнъж"
Please duplicate this to make changes,"Моля, дублирайте за извършване на промени"
Please enable Applicable on Booking Actual Expenses,"Моля, активирайте „Приложимо при осчетоводяване на фактически разходи"""
Please enable Applicable on Purchase Order and Applicable on Booking Actual Expenses,"Моля, активирайте „Приложимо за поръчка за покупка"" и „Приложимо при осчетоводяване на фактически разходи"""
Please enable Use Old Serial / Batch Fields to make_bundle,"Моля, активирайте „Използвай стари полета за сериен номер / партида"" за make_bundle"
Please enable atleast one Social Login Key or LDAP or Login With Email Link before disabling username/password based login.,"Моля, активирайте поне един ключ за социален вход, LDAP или вход с имейл линк преди деактивиране на вход с потребителско име/парола."
Please enable only if the understand the effects of enabling this.,"Моля, активирайте само ако разбирате ефектите."
Please enable pop-ups,"Моля, активирайте изскачащи прозорци"
Please enable pop-ups in your browser,"Моля, активирайте изскачащи прозорци в браузъра"
Please enable {0} in the {1}.,"Моля, активирайте {0} в {1}."
Please enable {} before continuing.,"Моля, активирайте {} преди продължаване."
Please enable {} in {} to allow same item in multiple rows,"Моля, активирайте {} в {} за разрешаване на еднакъв артикул в множество редове"
Please ensure that the {0} account is a Balance Sheet account. You can change the parent account to a Balance Sheet account or select a different account.,"Моля, уверете се, че сметка {0} е от баланса. Можете да промените родителската сметка или да изберете друга."
Please ensure that the {0} account {1} is a Payable account. You can change the account type to Payable or select a different account.,"Моля, уверете се, че сметка {0} {1} е за задължения. Можете да промените типа или да изберете друга сметка."
Please ensure that your profile has an email address,"Моля, уверете се, че профилът ви има имейл адрес"
Please ensure {} account is a Balance Sheet account.,"Моля, уверете се, че сметка {} е от баланса."
Please ensure {} account {} is a Receivable account.,"Моля, уверете се, че сметка {} {} е за вземания."
Please enter <b>Difference Account</b> or set default <b>Stock Adjustment Account</b> for company {0},"Моля, въведете <b>Сметка за разлика</b> или задайте <b>Сметка за корекция на наличности</b> по подразбиране за компания {0}"
Please enter Access Token URL,"Моля, въведете URL за токен за достъп"
Please enter Account for Change Amount,"Моля, въведете сметка за ресто"
Please enter Approving Role or Approving User,"Моля, въведете одобряваща роля или одобряващ потребител"
Please enter Authorize URL,"Моля, въведете URL за оторизация"
Please enter Base URL,"Моля, въведете базов URL"
Please enter Batch No,"Моля, въведете номер на партида"
Please enter Client ID before social login is enabled,"Моля, въведете Client ID преди активиране на социален вход"
Please enter Client Secret before social login is enabled,"Моля, въведете Client Secret преди активиране на социален вход"
Please enter Cost Center,"Моля, въведете разходен център"
Please enter Delivery Date,"Моля, въведете дата на доставка"
Please enter Employee Id of this sales person,"Моля, въведете идентификатор на служител за този търговец"
Please enter Expense Account,"Моля, въведете сметка за разходи"
Please enter Item Code to get Batch Number,"Моля, въведете код на артикул за получаване на номер на партида"
Please enter Item Code to get batch no,"Моля, въведете код на артикул за получаване на номер на партида"
Please enter Item first,"Моля, първо въведете артикул"
Please enter Maintenance Details first,"Моля, първо въведете детайли за поддръжка"
Please enter OpenID Configuration URL,"Моля, въведете URL за OpenID конфигурация"
Please enter Planned Qty for Item {0} at row {1},"Моля, въведете планирано количество за артикул {0} на ред {1}"
Please enter Preferred Contact Email,"Моля, въведете предпочитан имейл за контакт"
Please enter Production Item first,"Моля, първо въведете артикул за производство"
Please enter Purchase Receipt first,"Моля, първо въведете складова бележка за получаване"
Please enter Receipt Document,"Моля, въведете документ за получаване"
Please enter Redirect URL,"Моля, въведете URL за пренасочване"
Please enter Reference date,"Моля, въведете референтна дата"
Please enter Root Type for account- {0},"Моля, въведете основен тип за сметка - {0}"
Please enter Serial No,"Моля, въведете сериен номер"
Please enter Serial Nos,"Моля, въведете серийни номера"
Please enter Shipment Parcel information,"Моля, въведете информация за пратка"
Please enter Warehouse and Date,"Моля, въведете склад и дата"
Please enter Write Off Account,"Моля, въведете сметка за отписване"
Please enter a valid email address.,"Моля, въведете валиден имейл адрес."
Please enter a valid number of deliveries,"Моля, въведете валиден брой доставки"
Please enter a valid quantity,"Моля, въведете валидно количество"
Please enter at least one delivery date and quantity,"Моля, въведете поне една дата на доставка и количество"
Please enter both your email and message so that we can get back to you. Thanks!,"Моля, въведете имейл и съобщение, за да можем да ви отговорим. Благодарим!"
Please enter company name first,"Моля, първо въведете име на компания"
Please enter default currency in Company Master,"Моля, въведете валута по подразбиране в картона на компания"
Please enter message before sending,"Моля, въведете съобщение преди изпращане"
Please enter mobile number first.,"Моля, първо въведете мобилен номер."
Please enter parent cost center,"Моля, въведете родителски разходен център"
Please enter quantity for item {0},"Моля, въведете количество за артикул {0}"
Please enter relieving date.,"Моля, въведете дата на освобождаване."
Please enter serial nos,"Моля, въведете серийни номера"
Please enter the company name to confirm,"Моля, въведете името на компанията за потвърждение"
Please enter the first delivery date,"Моля, въведете първата дата на доставка"
Please enter the password,"Моля, въведете паролата"
Please enter the password for: <b>{0}</b>,"Моля, въведете паролата за: <b>{0}</b>"
Please enter the phone number first,"Моля, първо въведете телефонен номер"
Please enter the {schedule_date}.,"Моля, въведете {schedule_date}."
Please enter valid Financial Year Start and End Dates,"Моля, въведете валидни начална и крайна дата на финансовата година"
Please enter valid mobile nos,"Моля, въведете валидни мобилни номера"
Please enter your new password.,"Моля, въведете новата си парола."
Please enter your old password.,"Моля, въведете старата си парола."
Please enter {0},"Моля, въведете {0}"
Please enter {0} first,"Моля, първо въведете {0}"
Please fill the Material Requests table,"Моля, попълнете таблицата със заявки за материали"
Please fill the Sales Orders table,"Моля, попълнете таблицата с поръчки за продажба"
Please find attached {0}: {1},"Моля, намерете приложен {0}: {1}"
Please first set Full Name,"Моля, първо задайте пълно име, имейл и телефон за потребителя"
Please fix overlapping time slots for {0},"Моля, коригирайте припокриващите се времеви слотове за {0}"
Please fix overlapping time slots for {0}.,"Моля, коригирайте припокриващите се времеви слотове за {0}."
Please generate To Delete list before submitting,"Моля, генерирайте списъка за изтриване преди осчетоводяване"
Please generate the To Delete list before submitting,"Моля, генерирайте списъка за изтриване преди осчетоводяване"
Please import accounts against parent company or enable {} in company master.,"Моля, импортирайте сметки към родителска компания или активирайте {} в картона на компания."
Please login to post a comment.,"Моля, влезте, за да публикувате коментар."
Please make sure the Reference Communication Docs are not circularly linked.,"Моля, уверете се, че референтните комуникационни документи не са циклично свързани."
Please make sure the employees above report to another Active employee.,"Моля, уверете се, че горните служители се отчитат пред друг активен служител."
Please make sure the file you are using has 'Parent Account' column present in the header.,"Моля, уверете се, че файлът има колона „Родителска сметка"" в заглавката."
Please make sure you really want to delete all the transactions for this company. Your master data will remain as it is. This action cannot be undone.,"Моля, уверете се, че наистина искате да изтриете всички операции за тази компания. Основните данни ще останат непроменени. Действието не може да бъде отменено."
Please mention 'Weight UOM' along with Weight.,"Моля, посочете „Мерна единица за тегло"" заедно с теглото."
Please mention '{0}' in Company: {1},"Моля, посочете „{0}"" в компания: {1}"
Please mention no of visits required,"Моля, посочете брой необходими посещения"
Please mention the Current and New BOM for replacement.,"Моля, посочете текущата и новата спецификация за замяна."
Please pull items from Delivery Note,"Моля, извлечете артикули от складова разписка"
Please rectify and try again.,"Моля, коригирайте и опитайте отново."
Please refresh or reset the Plaid linking of the Bank {}.,"Моля, опреснете или нулирайте Plaid връзката на банка {}."
Please refresh to get the latest document.,"Моля, опреснете за най-новия документ."
Please remove the printer mapping in Printer Settings and try again.,"Моля, премахнете съпоставянето на принтер в настройките и опитайте отново."
Please review the {0} configuration and complete any required financial setup activities.,"Моля, прегледайте конфигурацията на {0} и завършете необходимите финансови настройки."
Please save before attaching.,"Моля, запазете преди прикачване."
Please save before proceeding.,"Моля, запазете преди продължаване."
Please save first,"Моля, първо запазете"
Please save the Sales Order before adding a delivery schedule.,"Моля, запазете поръчката за продажба преди добавяне на график за доставка."
Please save the document before assignment,"Моля, запазете документа преди назначаване"
Please save the document before removing assignment,"Моля, запазете документа преди премахване на назначение"
Please save the form before previewing the message,"Моля, запазете формуляра преди визуализация на съобщението"
Please save the report first,"Моля, първо запазете справката"
Please save to edit the template.,"Моля, запазете, за да редактирате шаблона."
Please select <b>Template Type</b> to download template,"Моля, изберете <b>Тип шаблон</b> за изтегляне"
Please select Apply Discount On,"Моля, изберете „Приложи отстъпка върху"""
Please select BOM against item {0},"Моля, изберете спецификация за артикул {0}"
Please select BOM for Item in Row {0},"Моля, изберете спецификация за артикул на ред {0}"
Please select BOM in BOM field for Item {item_code}.,"Моля, изберете спецификация в полето за спецификация за артикул {item_code}."
Please select Bank Account,"Моля, изберете банкова сметка"
Please select Category first,"Моля, първо изберете категория"
Please select Charge Type first,"Моля, първо изберете тип такса"
Please select Company,"Моля, изберете компания"
Please select Company and Posting Date to getting entries,"Моля, изберете компания и дата на осчетоводяване за извличане на записи"
Please select Company first,"Моля, първо изберете компания"
Please select Completion Date for Completed Asset Maintenance Log,"Моля, изберете дата на завършване за завършен лог за поддръжка на актив"
Please select Customer first,"Моля, първо изберете клиент"
Please select DocType first,"Моля, първо изберете DocType"
Please select Entity Type first,"Моля, първо изберете тип обект"
Please select Existing Company for creating Chart of Accounts,"Моля, изберете съществуваща компания за създаване на сметкоплан"
Please select Finished Good Item for Service Item {0},"Моля, изберете готов продукт за артикул услуга {0}"
Please select Item Code first,"Моля, първо изберете код на артикул"
Please select Maintenance Status as Completed or remove Completion Date,"Моля, изберете статус „Завършен"" или премахнете дата на завършване"
Please select Minimum Password Score,"Моля, изберете минимална оценка на парола"
Please select Party Type first,"Моля, първо изберете тип контрагент"
Please select Periodic Accounting Entry Difference Account,"Моля, изберете сметка за разлика при периодичен счетоводен запис"
Please select Posting Date before selecting Party,"Моля, изберете дата на осчетоводяване преди избор на контрагент"
Please select Posting Date first,"Моля, първо изберете дата на осчетоводяване"
Please select Price List,"Моля, изберете ценова листа"
Please select Qty against item {0},"Моля, изберете количество за артикул {0}"
Please select Sample Retention Warehouse in Stock Settings first,"Моля, първо изберете склад за задържане на проби в Настройки на склада"
Please select Serial/Batch Nos to reserve or change Reservation Based On to Qty.,"Моля, изберете серийни номера/партиди за резервиране или променете „Резервация на база"" на „Количество""."
Please select Start Date and End Date for Item {0},"Моля, изберете начална и крайна дата за артикул {0}"
Please select Stock Asset Account,"Моля, изберете сметка за складови активи"
Please select Subcontracting Order instead of Purchase Order {0},"Моля, изберете поръчка за подизпълнение вместо поръчка за покупка {0}"
Please select Unrealized Profit / Loss account or add default Unrealized Profit / Loss account account for company {0},"Моля, изберете сметка за нереализирана печалба/загуба или добавете такава по подразбиране за компания {0}"
Please select X and Y fields,"Моля, изберете полета X и Y"
Please select a BOM,"Моля, изберете спецификация"
Please select a Company,"Моля, изберете компания"
Please select a Company first.,"Моля, първо изберете компания."
Please select a Customer,"Моля, изберете клиент"
Please select a Delivery Note,"Моля, изберете складова разписка"
Please select a DocType in options before setting filters,"Моля, изберете DocType в опциите преди задаване на филтри"
Please select a Subcontracting Purchase Order.,"Моля, изберете поръчка за покупка за подизпълнение."
Please select a Supplier,"Моля, изберете доставчик"
Please select a Warehouse,"Моля, изберете склад"
Please select a Work Order first.,"Моля, първо изберете работна поръчка."
Please select a country,"Моля, изберете държава"
Please select a country code for field {1}.,"Моля, изберете код на държава за поле {1}."
Please select a customer for fetching payments.,"Моля, изберете клиент за извличане на плащания."
Please select a date,"Моля, изберете дата"
Please select a date and time,"Моля, изберете дата и час"
Please select a default mode of payment,"Моля, изберете начин на плащане по подразбиране"
Please select a field to edit from numpad,"Моля, изберете поле за редакция от цифровата клавиатура"
Please select a file first.,"Моля, първо изберете файл."
Please select a file or url,"Моля, изберете файл или URL"
Please select a frequency for delivery schedule,"Моля, изберете честота за график за доставка"
Please select a row to create a Reposting Entry,"Моля, изберете ред за създаване на запис за преизчисление"
Please select a supplier for fetching payments.,"Моля, изберете доставчик за извличане на плащания."
Please select a valid Purchase Order that has Service Items.,"Моля, изберете валидна поръчка за покупка с артикули услуги."
Please select a valid Purchase Order that is configured for Subcontracting.,"Моля, изберете валидна поръчка за покупка, конфигурирана за подизпълнение."
Please select a valid csv file with data,"Моля, изберете валиден CSV файл с данни"
Please select a valid date filter,"Моля, изберете валиден филтър за дата"
Please select a value for {0} quotation_to {1},"Моля, изберете стойност за {0} quotation_to {1}"
Please select an item code before setting the warehouse.,"Моля, изберете код на артикул преди задаване на склад."
Please select applicable Doctypes,"Моля, изберете приложими типове документи"
Please select at least one filter: Item Code,"Моля, изберете поне един филтър: Код на артикул, Партида или Сериен номер."
Please select at least one row to fix,"Моля, изберете поне един ред за корекция"
Please select at least one row with difference value,"Моля, изберете поне един ред с разлика в стойността"
Please select at least one schedule.,"Моля, изберете поне един график."
Please select atleast 1 column from {0} to sort/group,"Моля, изберете поне 1 колона от {0} за сортиране/групиране"
Please select atleast one item to continue,"Моля, изберете поне един артикул за продължаване"
Please select atleast one operation to create Job Card,"Моля, изберете поне една операция за създаване на работна карта"
Please select correct account,"Моля, изберете правилна сметка"
Please select date,"Моля, изберете дата"
Please select either the Item or Warehouse or Warehouse Type filter to generate the report.,"Моля, изберете филтър за артикул, склад или тип склад за генериране на справката."
Please select item code,"Моля, изберете код на артикул"
Please select items to reserve.,"Моля, изберете артикули за резервиране."
Please select items to unreserve.,"Моля, изберете артикули за освобождаване."
Please select only one row to create a Reposting Entry,"Моля, изберете само един ред за създаване на запис за преизчисление"
Please select prefix first,"Моля, първо изберете префикс"
Please select rows to create Reposting Entries,"Моля, изберете редове за създаване на записи за преизчисление"
Please select the Company,"Моля, изберете компанията"
Please select the Document Type.,"Моля, изберете тип документ."
Please select the LDAP Directory being used,"Моля, изберете използваната LDAP директория"
Please select the Multiple Tier Program type for more than one collection rules.,"Моля, изберете тип „Многостепенна програма"" за повече от едно правило за събиране."
Please select the Warehouse first,"Моля, първо изберете склад"
Please select the customer.,"Моля, изберете клиента."
Please select the document type first,"Моля, първо изберете тип документ"
Please select the required filters,"Моля, изберете необходимите филтри"
Please select valid document type.,"Моля, изберете валиден тип документ."
Please select weekly off day,"Моля, изберете седмичен почивен ден"
Please select {0},"Моля, изберете {0}"
Please select {0} first,"Моля, първо изберете {0}"
Please set 'Apply Additional Discount On',"Моля, задайте „Приложи допълнителна отстъпка върху"""
Please set 'Asset Depreciation Cost Center' in Company {0},"Моля, задайте „Разходен център за амортизация на активи"" в компания {0}"
Please set 'Gain/Loss Account on Asset Disposal' in Company {0},"Моля, задайте „Сметка за печалба/загуба при изваждане от употреба на актив"" в компания {0}"
Please set '{0}' in Company: {1},"Моля, задайте „{0}"" в компания: {1}"
Please set Account,"Моля, задайте сметка"
Please set Account for Change Amount,"Моля, задайте сметка за ресто"
Please set Account in Warehouse {0} or Default Inventory Account in Company {1},"Моля, задайте сметка в склад {0} или складова сметка по подразбиране в компания {1}"
Please set Accounting Dimension {} in {},"Моля, задайте счетоводно измерение {} в {}"
Please set Company,"Моля, задайте компания"
Please set Customer Address to determine if the transaction is an export.,"Моля, задайте адрес на клиент, за да определите дали операцията е експорт."
Please set Depreciation related Accounts in Asset Category {0} or Company {1},"Моля, задайте сметки, свързани с амортизация, в категория актив {0} или компания {1}"
Please set Email Address,"Моля, задайте имейл адрес"
Please set Email/Phone for the contact,"Моля, задайте имейл/телефон за контакта"
Please set Fiscal Code for the customer '%s',"Моля, задайте фискален код за клиент „%s"""
Please set Fiscal Code for the public administration '%s',"Моля, задайте фискален код за публична администрация „%s"""
Please set Fixed Asset Account in Asset Category {0},"Моля, задайте сметка за дълготрайни активи в категория {0}"
Please set Fixed Asset Account in {} against {}.,"Моля, задайте сметка за дълготрайни активи в {} за {}."
Please set Parent Row No for item {0},"Моля, задайте родителски ред № за артикул {0}"
Please set Purchase Expense Contra Account in Company {0},"Моля, задайте кореспондираща сметка за разходи за покупки в компания {0}"
Please set Root Type,"Моля, задайте основен тип"
Please set Tax ID for the customer '%s',"Моля, задайте данъчен номер за клиент „%s"""
Please set Unrealized Exchange Gain/Loss Account in Company {0},"Моля, задайте сметка за нереализирана курсова разлика в компания {0}"
